inc_group	n_training	is_incx_like	level	level_name	uniform_threshold	adaptive_threshold	pct_difference	abs_pct_difference
ColE	19	False	A	L1 (Family)	0.15	0.142886	-4.7	4.7
ColE	19	False	B	L2 (Subfamily)	0.1	0.108749	8.7	8.7
ColE	19	False	C	L3 (Cluster)	0.05	0.073543	47.1	47.1
ColE	19	False	D	L4 (Subcluster)	0.02	0.054063	170.3	170.3
ColE	19	False	E	L5 (Clone)	0.01	0.03713	271.3	271.3
ColE	19	False	F	L6 (Strain)	0.001	0.0005	-50.0	50.0
ColRNAI	91	False	A	L1 (Family)	0.15	0.179726	19.8	19.8
ColRNAI	91	False	B	L2 (Subfamily)	0.1	0.148149	48.1	48.1
ColRNAI	91	False	C	L3 (Cluster)	0.05	0.093275	86.5	86.5
ColRNAI	91	False	D	L4 (Subcluster)	0.02	0.065935	229.7	229.7
ColRNAI	91	False	E	L5 (Clone)	0.01	0.027382	173.8	173.8
ColRNAI	91	False	F	L6 (Strain)	0.001	0.0005	-50.0	50.0
IncA	14	False	A	L1 (Family)	0.15	0.027855	-81.4	81.4
IncA	14	False	B	L2 (Subfamily)	0.1	0.023797	-76.2	76.2
IncA	14	False	C	L3 (Cluster)	0.05	0.020673	-58.7	58.7
IncA	14	False	D	L4 (Subcluster)	0.02	0.007337	-63.3	63.3
IncA	14	False	E	L5 (Clone)	0.01	0.002907	-70.9	70.9
IncA	14	False	F	L6 (Strain)	0.001	0.00099	-1.0	1.0
IncAC2	14	False	A	L1 (Family)	0.15	0.027707	-81.5	81.5
IncAC2	14	False	B	L2 (Subfamily)	0.1	0.026833	-73.2	73.2
IncAC2	14	False	C	L3 (Cluster)	0.05	0.017061	-65.9	65.9
IncAC2	14	False	D	L4 (Subcluster)	0.02	0.006245	-68.8	68.8
IncAC2	14	False	E	L5 (Clone)	0.01	0.001715	-82.8	82.8
IncAC2	14	False	F	L6 (Strain)	0.001	0.0005	-50.0	50.0
IncC	16	False	A	L1 (Family)	0.15	0.032889	-78.1	78.1
IncC	16	False	B	L2 (Subfamily)	0.1	0.030562	-69.4	69.4
IncC	16	False	C	L3 (Cluster)	0.05	0.01781	-64.4	64.4
IncC	16	False	D	L4 (Subcluster)	0.02	0.012242	-38.8	38.8
IncC	16	False	E	L5 (Clone)	0.01	0.004923	-50.8	50.8
IncC	16	False	F	L6 (Strain)	0.001	0.001042	4.2	4.2
IncF	75	False	A	L1 (Family)	0.15	0.046932	-68.7	68.7
IncF	75	False	B	L2 (Subfamily)	0.1	0.035523	-64.5	64.5
