inc_group	n_training	is_incx_like	abs_pct_difference
repSA_small	73	False	510.5833333333333
repPae_small	150	False	253.23333333333335
repAci1	120	False	197.6
repEF_res	121	False	192.76666666666665
IncX1	705	True	114.48333333333333
IncR	21	False	104.63333333333333
ColRNAI	91	False	101.31666666666666
ColE	19	False	92.01666666666667
IncFIC	14	False	86.25
IncHI2	36	False	83.3
IncFIBK	11	False	74.35
IncFII	4629	False	72.21666666666667
IncAC2	14	False	70.36666666666666
IncN	1097	False	67.51666666666667
IncI1	27	False	67.51666666666667
IncI2	25	False	67.0
IncX4	24	True	66.55
repAci_large	203	False	64.41666666666667
IncF	75	False	64.03333333333333
repEF_conj	92	False	59.85
IncA	14	False	58.583333333333336
repSA_large	121	False	56.53333333333333
IncX3	56	True	52.01666666666667
IncC	16	False	50.949999999999996
IncI	11	False	50.0
IncFIB	97	False	45.699999999999996
IncHI1	16	False	43.416666666666664
repPae_large	199	False	21.599999999999998
