inc_type	n_pairs	pearson_r	spearman_rho	mean_ani	min_ani	max_ani
ColE	254	-0.652197738308889	-0.7214594089198246	93.2081311023622	79.512	100.0
ColRNAI	202	-0.5236631753361727	-0.5018878945482358	96.4358227722772	78.9028	100.0
IncA	182	-0.3006708660952773	-0.28794284410063326	94.50471868131869	89.2084	99.9719
IncAC2	182	-0.47888607687292084	-0.5356565164871472	99.10539945054944	98.0518	100.0
IncC	240	-0.09912442205148073	-0.14794790731806035	98.56124333333334	93.7209	100.0
IncF	343	-0.5895399669496789	-0.5137577588960731	93.30753352769679	75.7412	99.8817
IncFIB	238	-0.31488076454391883	-0.47492090457050123	94.5184655462185	73.4475	100.0
IncFIBK	106	-0.00041237352047213707	-0.06143349923884304	98.19939622641512	94.457	99.992
IncFIC	182	-0.9616859054786402	-0.8832124490581365	98.51506153846154	92.3956	100.0
IncFII	240	-0.0016289153354190965	-0.07006982070034035	89.42184625	76.0657	99.9544
IncHI1	75	-0.34908792935802546	-0.5748840574415596	93.96789466666667	78.6296	99.9392
IncHI2	380	-0.1956189637181046	-0.2507996783515785	98.30986894736843	96.1657	100.0
IncI	90	-0.7026819195075074	-0.6121395597462961	96.12169999999999	88.7904	99.6304
IncI1	306	-0.2610522096383396	-0.2965262757294232	97.81353366013072	95.8945	99.9964
IncI2	308	-0.5977521122958871	-0.8104445301185956	98.25325194805195	95.9686	100.0
IncN	230	-0.3663135630958357	-0.6119849627935883	95.17937043478261	75.399	99.9099
IncR	378	-0.013988122418449331	-0.16885687657832077	95.75646111111112	83.3575	99.9801
IncX1	274	-0.05426838896540476	-0.0764205377127726	93.53226167883211	79.7775	99.9664
IncX3	380	0.05400219631238802	0.03747519311706029	99.63527210526314	98.3443	100.0
IncX4	380	0.0438052414705328	-0.016243529822785707	98.73761736842104	96.0701	100.0
