pLIN	n_plasmids	mean_amr	total_amr	inc_types
1.1.2.4.7.23	700	6.871428571428571	4810	IncF, IncFIB, IncFIBK, IncFII, IncHI1, IncN
1.1.2.4.7.846	225	5.551111111111111	1249	IncFII, IncN, IncX1
1.1.2.4.7.10	161	7.503105590062112	1208	IncF, IncFII
1.1.2.4.7.13	142	14.380281690140846	2042	IncFII, IncHI1, IncHI2, IncN, IncX1
1.1.2.4.7.940	111	6.8108108108108105	756	IncFII
1.1.2.4.7.1947	90	13.21111111111111	1189	IncN
1.1.2.4.7.283	89	6.842696629213483	609	IncF, IncFII, IncX1
1.1.2.4.7.1021	87	5.0344827586206895	438	IncFII
1.1.2.4.7.1220	79	4.9113924050632916	388	IncFII
1.1.2.4.7.46	73	4.178082191780822	305	IncFIB, IncFII
1.1.2.4.7.1326	60	5.0	300	IncFII
1.1.2.4.7.8	51	6.078431372549019	310	IncN
1.1.2.4.7.989	43	3.697674418604651	159	IncFII
1.1.2.4.7.925	41	8.414634146341463	345	IncFII, IncN
1.1.2.4.7.56	40	4.85	194	IncF, IncFII, IncN
1.1.2.4.7.812	34	2.176470588235294	74	IncN
1.1.2.4.7.32	31	7.870967741935484	244	IncF, IncFII
1.1.2.4.7.974	29	3.9310344827586206	114	IncFII
1.1.2.4.12.40	28	1.0	28	ColE, ColRNAI
1.1.2.4.7.1126	27	5.851851851851852	158	IncN
1.1.2.4.7.1444	26	4.0	104	IncFII
1.1.2.4.7.980	24	5.0	120	IncN
1.1.2.4.7.1056	21	17.142857142857142	360	IncFII
1.1.2.4.7.1769	21	1.6666666666666667	35	IncFII
1.1.2.4.7.1053	20	7.35	147	IncFII
1.1.2.4.7.25	19	4.526315789473684	86	IncFIB, IncFII, IncR
1.1.2.4.7.2617	19	2.0526315789473686	39	IncN
1.1.2.4.7.147	19	1.0	19	IncHI1, IncI2
1.1.2.4.7.41	19	2.0	38	IncX3
1.1.2.4.7.975	18	3.7777777777777777	68	IncFII
1.1.2.4.7.26	17	9.294117647058824	158	IncA, IncAC2, IncC
1.1.2.4.7.1339	16	9.875	158	IncFII, IncN
1.1.2.4.7.1371	16	1.25	20	IncN
1.1.2.4.13.42	16	1.0	16	ColE, ColRNAI
1.1.2.4.7.1055	15	17.2	258	IncFII
1.1.2.4.7.9	15	1.0	15	IncFII
1.1.2.4.7.392	15	1.0	15	IncI, IncI1
1.1.2.4.7.1553	14	9.285714285714286	130	IncX1
1.1.2.4.7.1288	14	1.8571428571428572	26	IncFII
1.1.2.4.7.1192	13	5.076923076923077	66	IncFII
1.1.2.4.7.120	13	10.153846153846153	132	IncN
1.1.2.4.7.2215	12	5.0	60	IncX1
1.1.2.4.7.584	12	2.0	24	IncFIC
1.1.2.4.7.961	12	2.0	24	IncN
1.1.2.4.7.977	12	1.1666666666666667	14	IncN
1.1.2.4.7.1081	12	4.25	51	IncN
1.1.2.4.7.284	11	2.0	22	IncX3
1.1.2.4.7.947	11	1.6363636363636365	18	IncN
1.1.2.4.7.1886	10	11.9	119	IncN
1.1.2.4.7.1569	10	10.7	107	IncFII
1.1.2.4.7.598	10	3.5	35	IncF, IncFII
1.1.2.4.7.1488	10	5.9	59	IncFII
1.1.2.4.7.1200	10	1.0	10	IncN
1.1.2.4.7.1227	10	8.8	88	IncFII
1.1.2.4.7.2300	9	5.0	45	IncFII
1.1.2.4.7.1547	9	6.0	54	IncX1
1.1.2.4.7.1401	8	3.0	24	IncN
1.1.2.4.7.1057	8	2.125	17	IncX1
1.1.2.4.7.1155	8	7.0	56	IncN
1.1.2.4.7.957	8	1.0	8	IncFII
1.1.2.4.7.1001	8	18.0	144	IncFII
1.1.2.4.7.1972	8	8.0	64	IncN
1.1.2.4.7.311	8	13.25	106	IncHI1, IncN, IncX1
1.1.2.4.7.1173	8	2.125	17	IncX1
1.1.2.4.7.968	8	7.75	62	IncN
1.1.2.4.7.1256	7	12.428571428571429	87	IncFII
