is_family	organism_category	n_hits	n_plasmids
IS1	Acinetobacter	2	2
IS1	Gram-negative	882	857
IS1	Pseudomonas	27	26
IS10	Acinetobacter	8	8
IS10	Gram-negative	181	180
IS2	Gram-negative	21	21
IS256	Gram-positive	30	29
IS26	Acinetobacter	85	40
IS26	Gram-negative	18756	4419
IS26	Pseudomonas	154	52
IS30	Gram-negative	278	248
IS5	Gram-negative	197	158
IS903	Gram-negative	794	785
ISAba	Acinetobacter	1	1
ISEcp1	Gram-negative	845	778
ISEcp1	Pseudomonas	2	2
ISKpn26	Gram-negative	7	7
Tn916	Gram-positive	8	8
