source_file	inc_group	organism_category	is_family	pident	align_length	ref_length	coverage	q_start	q_end	strand	evalue	bitscore	plasmid_length
NC_021666.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	2	824	+	0.0	1480.0	14709
NZ_CP058329.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	678	1500	-	0.0	1480.0	13636
NZ_CP059482.1	ColE	Gram-negative	IS26	100.0	823	859	0.958	6448	7270	-	0.0	1485.0	12808
NZ_CP098356.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	10428	11250	+	0.0	1480.0	15271
NZ_CP110940.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	12497	13319	+	0.0	1480.0	13636
NZ_CP110946.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	7980	8802	-	0.0	1480.0	13636
NZ_CP110951.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	12497	13319	+	0.0	1476.0	13636
NZ_CP110956.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	12497	13319	+	0.0	1476.0	13636
NZ_CP110961.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	8063	8885	-	0.0	1476.0	13636
NZ_CP110966.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	12497	13319	+	0.0	1476.0	13636
NZ_CP110971.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	12497	13319	+	0.0	1476.0	13636
NZ_OP745647.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	7472	8294	-	0.0	1476.0	16840
CP080656.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5290	6112	+	0.0	1480.0	13841
CP080660.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	10560	11382	-	0.0	1480.0	13841
CP080664.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9860	10682	-	0.0	1480.0	13141
CP080669.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9664	10486	+	0.0	1480.0	13841
CP080677.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5610	6432	+	0.0	1480.0	13841
CP080687.1	ColRNAI	Gram-negative	IS26	99.857	699	859	0.814	1	699	+	0.0	1257.0	13841
CP080692.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	3611	4433	+	0.0	1480.0	13841
CP080696.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	773	1595	-	0.0	1480.0	13841
CP080701.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5290	6112	+	0.0	1480.0	13841
CP080706.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5610	6432	+	0.0	1480.0	13841
CP080710.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	4827	5649	-	0.0	1480.0	13841
CP080715.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5610	6432	+	0.0	1480.0	13841
CP080721.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	4827	5649	-	0.0	1480.0	13841
CP080725.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	773	1595	-	0.0	1480.0	13841
CP080729.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	8881	9703	-	0.0	1480.0	13841
CP080733.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	3148	3970	-	0.0	1480.0	13841
CP080737.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	8881	9703	-	0.0	1480.0	13841
CP080743.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9344	10166	+	0.0	1480.0	13841
CP080749.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	12935	13757	-	0.0	1480.0	13841
NZ_AP024752.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024755.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024759.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	23753
NZ_AP024762.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024765.1	ColRNAI	Gram-negative	IS26	100.0	821	859	0.956	9931	10751	+	0.0	1481.0	12692
NZ_AP024768.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024771.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024774.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024777.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	19843	20665	+	0.0	1480.0	23753
NZ_AP024780.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	19843	20665	+	0.0	1480.0	23753
NZ_AP024783.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024787.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024791.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024794.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_AP024797.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9931	10753	+	0.0	1480.0	13841
NZ_CP027041.1	ColRNAI	Gram-negative	IS1	100.0	706	768	0.919	4235	4940	-	0.0	1274.0	4940
NZ_CP027052.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	8332	9154	-	0.0	1480.0	13841
NZ_CP027058.1	ColRNAI	Gram-negative	IS26	99.393	824	859	0.959	11760	12580	-	0.0	1450.0	13841
NZ_CP070526.1	ColRNAI	Gram-negative	IS26	99.879	825	859	0.96	919	1743	-	0.0	1484.0	10122
NZ_CP070563.1	ColRNAI	Gram-negative	IS26	99.757	823	859	0.958	12181	13003	-	0.0	1476.0	13637
NZ_CP076308.1	ColRNAI	Gram-negative	IS26	99.284	838	859	0.976	23571	24408	-	0.0	1481.0	51468
NZ_CP076308.1	ColRNAI	Gram-negative	IS26	100.0	821	859	0.956	36881	37701	-	0.0	1481.0	51468
CP071789.1	IncA	Gram-negative	IS26	99.521	835	859	0.972	55456	56290	-	0.0	1489.0	240758
CP071789.1	IncA	Gram-negative	IS26	99.759	829	859	0.965	211084	211912	-	0.0	1487.0	240758
CP071789.1	IncA	Gram-negative	IS26	100.0	822	859	0.957	208454	209275	-	0.0	1483.0	240758
CP071789.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	34292	35111	+	0.0	1480.0	240758
CP071789.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	37237	38056	+	0.0	1480.0	240758
CP071789.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	44391	45210	+	0.0	1480.0	240758
CP071789.1	IncA	Gram-negative	IS1	91.927	768	768	1.0	184206	184973	-	0.0	1106.0	240758
NC_021667.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	89133	90788	+	0.0	2987.0	171925
NC_021667.1	IncA	Gram-negative	IS10	100.0	1308	1329	0.984	155840	157147	-	0.0	2360.0	171925
NC_021667.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	143281	144100	+	0.0	1480.0	171925
NC_021667.1	IncA	Gram-negative	IS26	100.0	819	859	0.953	45916	46734	-	0.0	1478.0	171925
NZ_CP011429.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	56989	58644	+	0.0	2987.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS30	99.836	1221	1221	1.0	105831	107051	-	0.0	2194.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	100.0	821	859	0.956	20337	21157	+	0.0	1481.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	19093	19912	-	0.0	1480.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	99.757	822	859	0.957	117404	118225	+	0.0	1474.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	99.756	820	859	0.955	128806	129625	-	0.0	1471.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	84825	85644	-	0.0	1466.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS26	99.027	822	859	0.957	123497	124318	+	0.0	1437.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS1	98.828	768	768	1.0	110006	110773	+	0.0	1345.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS1	98.57	769	768	1.001	107734	108502	-	0.0	1334.0	156323
NZ_CP011429.1	IncA	Gram-negative	IS1	98.57	769	768	1.001	113832	114600	+	0.0	1334.0	156323
NZ_CP012682.1	IncA	Gram-negative	IS30	99.836	1221	1221	1.0	44876	46096	-	0.0	2194.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	112767	113590	-	0.0	1482.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	67566	68385	+	0.0	1480.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	100.0	820	859	0.955	114015	114834	+	0.0	1480.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.756	820	859	0.955	18945	19764	-	0.0	1471.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.635	821	859	0.956	126329	127149	-	0.0	1468.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.635	821	859	0.956	13631	14451	+	0.0	1468.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.635	821	859	0.956	23870	24690	-	0.0	1468.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	120304	121123	-	0.0	1466.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS26	99.634	820	859	0.955	77153	77972	+	0.0	1466.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS1	98.828	768	768	1.0	49051	49818	+	0.0	1345.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS1	98.57	769	768	1.001	53654	54422	+	0.0	1334.0	161461
NZ_CP012682.1	IncA	Gram-negative	IS1	98.57	769	768	1.001	46779	47547	-	0.0	1334.0	161461
NZ_CP032491.1	IncA	Gram-negative	ISEcp1	100.0	1656	1656	1.0	42303	43958	+	0.0	2987.0	164229
NZ_CP032491.1	IncA	Gram-negative	IS30	99.836	1221	1221	1.0	112166	113386	-	0.0	2194.0	164229
NZ_CP032491.1	IncA	Gram-negative	IS26	99.879	824	859	0.959	3677	4500	+	0.0	1482.0	164229
