plasmid_id	inc_type	inc_confidence	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F	source	inc_secondary	is_novel
CP014198.2	ColE	1.0	7057	1.1.2.10.20.50	1	1	2	10	20	50	training		False
NC_001371.1	ColE	1.0	6646	1.1.2.4.7.13	1	1	2	4	7	13	training		False
NC_013589.1	ColE	1.0	5159	1.1.2.4.6.9	1	1	2	4	6	9	training		False
NC_021666.1	ColE	1.0	14709	1.1.2.6.13.27	1	1	2	6	13	27	training		False
NZ_CP058329.1	ColE	1.0	13636	1.1.2.9.17.37	1	1	2	9	17	37	training		False
NZ_CP059482.1	ColE	1.0	12808	1.1.2.8.15.30	1	1	2	8	15	30	training		False
NZ_CP098356.1	ColE	1.0	15271	1.1.2.6.13.27	1	1	2	6	13	27	training		False
NZ_CP110940.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	training		False
NZ_CP110946.1	ColE	1.0	13636	1.1.2.9.17.37	1	1	2	9	17	37	training		False
NZ_CP110951.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	training		False
NZ_CP110956.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	training		False
NZ_CP110961.1	ColE	1.0	13636	1.1.2.9.17.37	1	1	2	9	17	37	training		False
NZ_CP110966.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	training		False
NZ_CP110971.1	ColE	1.0	13636	1.1.2.6.13.27	1	1	2	6	13	27	training		False
NZ_CP132199.1	ColE	1.0	9292	1.1.2.9.16.32	1	1	2	9	16	32	training		False
NZ_CP157099.1	ColE	1.0	16081	1.1.2.7.14.29	1	1	2	7	14	29	training		False
NZ_CP157107.1	ColE	1.0	9076	1.1.2.10.21.62	1	1	2	10	21	62	training		False
NZ_MN371150.1	ColE	1.0	6141	1.1.3.12.28.72	1	1	3	12	28	72	training		False
NZ_OP745647.1	ColE	1.0	16840	1.1.2.9.18.44	1	1	2	9	18	44	training		False
OY856305.1	ColE	0.6322	6645	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.35)	False
OY856298.1	ColE	0.6514	6646	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.33)	False
NZ_CP137367.1	ColE	0.9926	18588	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
OY754450.1	ColE	0.4283	5272	1.1.2.10.23.67	1	1	2	10	23	67	reference	IncFII(0.36)	False
NZ_CP135675.1	ColE	0.5142	8910	1.1.2.10.20.47	1	1	2	10	20	47	reference	IncFII(0.32)	False
NZ_CP135251.1	ColE	0.5634	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.42)	False
NZ_CP133746.1	ColE	0.934	18556	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
NZ_CP115373.1	ColE	0.6394	6648	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP107119.1	ColE	0.4461	6896	1.1.2.4.7.18	1	1	2	4	7	18	reference	ColRNAI(0.38)	False
NZ_CP082099.1	ColE	0.5541	12783	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.41)	False
NZ_CP082070.1	ColE	0.4751	10847	1.1.2.10.19.45	1	1	2	10	19	45	reference	IncX1(0.35)	False
NZ_CP128975.1	ColE	0.4528	8899	1.1.2.4.7.20	1	1	2	4	7	20	reference	ColRNAI(0.29)	False
NZ_CP128588.1	ColE	0.5189	5314	1.1.2.4.5.8	1	1	2	4	5	8	reference	IncX1(0.29)	False
CP128750.1	ColE	0.9917	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP128741.1	ColE	0.9917	9294	1.1.2.9.16.32	1	1	2	9	16	32	reference		False
CP128758.1	ColE	0.7217	8652	1.1.2.9.16.33	1	1	2	9	16	33	reference	ColRNAI(0.28)	False
NZ_CP127253.1	ColE	0.6428	13294	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP127307.1	ColE	0.7077	13292	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.28)	False
NZ_CP124402.1	ColE	0.9669	5153	1.1.2.4.6.9	1	1	2	4	6	9	reference		False
NZ_CP124432.1	ColE	0.6313	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.35)	False
NZ_CP122937.1	ColE	0.6032	6646	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.38)	False
NZ_CP122912.1	ColE	0.7086	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.28)	False
NZ_CP122715.1	ColE	0.5471	5262	1.1.2.4.5.7	1	1	2	4	5	7	reference		False
NZ_CP122632.1	ColE	0.5908	6668	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.39)	False
NZ_CP122628.1	ColE	0.6089	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.37)	False
CP125069.1	ColE	0.4981	5119	1.1.2.4.11.25	1	1	2	4	11	25	reference	IncX1(0.33)	False
CP124980.1	ColE	0.58	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.40)	False
NZ_CP119534.1	ColE	0.7223	14146	1.1.2.8.15.31	1	1	2	8	15	31	reference		False
CP156949.1	ColE	0.5671	6647	1.1.2.4.7.13	1	1	2	4	7	13	reference	ColRNAI(0.41)	False
NZ_OZ038592.1	ColE	0.642	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_OZ040493.1	ColE	0.6394	6647	1.1.2.10.20.53	1	1	2	10	20	53	reference	IncFII(0.36)	False
NZ_CP152301.1	ColE	0.429	5538	1.1.2.10.23.65	1	1	2	10	23	65	reference	IncFII(0.36)	False
NZ_CP139676.2	ColE	0.5996	19459	1.1.2.9.17.36	1	1	2	9	17	36	reference		False
NZ_CP139680.2	ColE	0.5996	19459	1.1.2.9.17.36	1	1	2	9	17	36	reference		False
