plasmid_id	inc_type	inc_confidence	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F	nn_distance	nn_training_id	source
AB000510.1	repSA_small	81.4	2645	1.1.21.113.301.3074	1	1	21	113	301	3074	0.052722	NZ_JBSQTE010000002.1	reference
AB011548.2	IncX1	79.9	3306	1.1.22.114.302.3075	1	1	22	114	302	3075	0.051852	RefSeq_NZ_CP115360.1	reference
AB011549.2	IncFII	100.0	92721	1.1.3.42.150.1120	1	1	3	42	150	1120	6e-05	RefSeq_NZ_CP062779.1	reference
AB063523.1	repSA_large	80.0	5280	1.1.3.115.303.3076	1	1	3	115	303	3076	0.037679	NC_019008.1	reference
AB244976.1	repPae_small	77.7	65998	1.1.3.42.304.3077	1	1	3	42	304	3077	0.019788	NZ_MH547561.1	reference
AB576781.2	IncFII	100.0	112670	1.1.3.42.150.3078	1	1	3	42	150	3078	0.001528	RefSeq_NZ_CP088139.1	reference
AB605179.1	IncFII	100.0	132842	1.1.3.42.150.3079	1	1	3	42	150	3079	0.001103	RefSeq_NZ_CP039580.1	reference
ADWM02000138.1	IncX1	39.9	7242	1.1.23.116.305.3080	1	1	23	116	305	3080	0.060556	RefSeq_NZ_CP020905.1	reference
ADWN02000004.1	IncX1	39.9	7242	1.1.24.117.306.3081	1	1	24	117	306	3081	0.060556	RefSeq_NZ_CP020905.1	reference
AE006471.2	IncFII	100.0	93933	1.1.3.42.150.1497	1	1	3	42	150	1497	0.0	RefSeq_NC_003277.2	reference
AE016829.2	repEF_res	60.5	37319	1.1.3.42.307.3082	1	1	3	42	307	3082	0.015744	NZ_CP089320.1	reference
AE017195.1	repEF_res	57.7	208369	1.1.3.42.118.3083	1	1	3	42	118	3083	0.008665	NZ_CP085290.1	reference
AF077865.1	repSA_large	100.0	555	1.1.14.106.294.3067	1	1	14	106	294	3067	0.0	AF077865.1	reference
AF128883.1	repSA_large	100.0	20719	1.1.3.42.118.270	1	1	3	42	118	270	0.000141	NZ_JBQWNV010000004.1	reference
AF203376.1	repSA_large	100.0	2699	1.1.3.58.246.3019	1	1	3	58	246	3019	0.0	AF203376.1	reference
AF318175.1	repAci1	100.0	1065	1.1.25.118.308.3084	1	1	25	118	308	3084	0.099665	NZ_CP087596.1	reference
AF386526.1	IncFII	77.8	221618	1.1.3.42.150.3085	1	1	3	42	150	3085	0.003173	RefSeq_NZ_CP106925.1	reference
AF394225.1	repEF_conj	100.0	1000	1.1.3.92.280.3053	1	1	3	92	280	3053	0.0	AF394225.1	reference
AF411935.1	repSA_large	100.0	12637	1.1.3.42.204.2977	1	1	3	42	204	2977	0.0	AF411935.1	reference
AF521699.1	repEF_res	100.0	16726	1.1.12.104.292.3065	1	1	12	104	292	3065	0.0	AF521699.1	reference
AFSD01000007.1	repPae_large	100.0	105065	1.1.3.42.309.3086	1	1	3	42	309	3086	0.011291	NZ_CP199842.1	reference
AFSD01000008.1	repPae_large	72.0	401969	1.1.3.42.310.3087	1	1	3	42	310	3087	0.010944	NZ_MH547561.1	reference
AJ297913.2	repPae_small	100.0	45319	1.1.3.42.311.3088	1	1	3	42	311	3088	0.013986	NZ_CP065413.1	reference
AJ304453.1	repPae_large	51.6	55578	1.1.3.42.72.3089	1	1	3	42	72	3089	0.009178	NZ_CP065413.1	reference
AJ639924.1	repPae_large	71.9	56167	1.1.3.42.146.3090	1	1	3	42	146	3090	0.006018	NZ_CP199859.1	reference
AJ863570.1	repPae_large	72.0	57198	1.1.3.42.146.3091	1	1	3	42	146	3091	0.006919	NZ_CP199859.1	reference
AL645771.1	repPae_large	100.0	31317	1.1.26.119.312.3092	1	1	26	119	312	3092	0.073703	NZ_CP185403.1	reference
AM157767.1	repPae_large	100.0	69966	1.1.3.42.146.3093	1	1	3	42	146	3093	0.009068	NZ_OX638703.1	reference
AM261282.1	repPae_large	63.5	54383	1.1.3.42.146.3094	1	1	3	42	146	3094	0.008914	NZ_PP591960.1	reference
AP003139.1	repSA_large	100.0	24653	1.1.3.42.118.264	1	1	3	42	118	264	0.0	AP003139.1	reference
AP007210.1	repEF_res	79.6	270082	1.1.3.42.118.3095	1	1	3	42	118	3095	0.0094	NZ_CP114620.1	reference
AP007211.1	repEF_conj	57.6	47972	1.1.3.42.313.3096	1	1	3	42	313	3096	0.019283	NZ_CP170281.1	reference
AP007212.1	repEF_res	59.3	5436	1.1.3.120.314.3097	1	1	3	120	314	3097	0.021674	NZ_CP075605.1	reference
AP007213.1	repEF_conj	100.0	3869	1.1.3.121.315.3098	1	1	3	121	315	3098	0.030548	NZ_CP022484.1	reference
AP007214.1	repEF_conj	80.5	3091	1.1.3.122.316.3099	1	1	3	122	316	3099	0.03737	NZ_CP124932.1	reference
AP011958.1	IncFII	100.0	106510	1.1.3.42.150.1498	1	1	3	42	150	1498	0.000593	RefSeq_NZ_OP927725.1	reference
AP011959.1	repPae_small	73.5	8670	1.1.3.64.317.3100	1	1	3	64	317	3100	0.017523	RefSeq_NZ_CP047767.1	reference
AP012045.1	IncX1	100.0	60586	1.1.3.123.318.3101	1	1	3	123	318	3101	0.03608	RefSeq_NZ_CP079894.1	reference
AP012283.1	repSA_large	100.0	199075	1.1.3.42.118.3102	1	1	3	42	118	3102	0.00653	NZ_OZ282468.1	reference
AP012552.1	IncFII	100.0	19174	1.1.3.42.319.3103	1	1	3	42	319	3103	0.011273	RefSeq_NZ_CP132002.1	reference
AP012553.1	IncN	57.7	38222	1.1.3.42.150.3104	1	1	3	42	150	3104	0.005268	RefSeq_NZ_CP044049.1	reference
AP014566.1	IncFII	100.0	132611	1.1.3.42.150.3105	1	1	3	42	150	3105	0.001106	RefSeq_NZ_CP039580.1	reference
AP014579.1	repPae_large	69.1	1438033	1.1.3.124.320.3106	1	1	3	124	320	3106	0.032925	NZ_CP077972.1	reference
AP014580.1	repPae_large	74.6	495745	1.1.3.42.84.3107	1	1	3	42	84	3107	0.00976	NZ_CP064400.1	reference
AP014581.1	repPae_large	82.6	194177	1.1.3.42.321.3108	1	1	3	42	321	3108	0.010599	NZ_CP064400.1	reference
AP014659.1	repPae_large	60.2	212255	1.1.3.42.322.3109	1	1	3	42	322	3109	0.010115	NZ_CP064400.1	reference
AP014686.1	repPae_large	57.7	210438	1.1.3.42.323.3110	1	1	3	42	323	3110	0.010565	NZ_MH547561.1	reference
AP014687.1	repPae_large	61.8	136288	1.1.3.42.324.3111	1	1	3	42	324	3111	0.010126	NZ_CP064400.1	reference
AP014688.1	repPae_large	61.3	136153	1.1.3.42.325.3112	1	1	3	42	325	3112	0.011657	NZ_CP064400.1	reference
AP014713.1	repEF_conj	79.1	6220	1.1.3.125.326.3113	1	1	3	125	326	3113	0.042861	NZ_CP018068.1	reference
AP014720.1	repPae_large	100.0	313409	1.1.3.126.327.3114	1	1	3	126	327	3114	0.023233	NZ_CP158572.1	reference
AP014721.1	repPae_large	60.0	14696	1.1.27.127.328.3115	1	1	27	127	328	3115	0.057959	NZ_CP166914.1	reference
AP014801.1	repPae_large	100.0	111306	1.1.3.128.329.3116	1	1	3	128	329	3116	0.038545	NZ_CP171946.1	reference
AP014802.1	repPae_large	100.0	106137	1.1.3.129.330.3117	1	1	3	129	330	3117	0.028995	NZ_CP171946.1	reference
AP014803.1	repPae_large	100.0	60897	1.1.3.130.331.3118	1	1	3	130	331	3118	0.032805	NZ_CP171946.1	reference
AP014882.1	IncFII	80.1	187193	1.1.3.42.150.3119	1	1	3	42	150	3119	0.009258	RefSeq_NZ_CP032395.1	reference
AP014883.1	IncFII	80.0	6331	1.1.3.131.332.3120	1	1	3	131	332	3120	0.030316	RefSeq_NZ_CP032395.1	reference
AP014884.1	repPae_large	80.3	2799	1.1.28.132.333.3121	1	1	28	132	333	3121	0.0546	NZ_OX638703.1	reference
AP014885.1	repPae_small	40.6	2278	1.1.29.133.334.3122	1	1	29	133	334	3122	0.094957	NZ_CP080314.1	reference
