source_file	inc_group	organism_category	is_family	pident	align_length	ref_length	coverage	q_start	q_end	s_start	s_end	evalue	bitscore	plasmid_length
NC_021666.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	2	824	22	844	0.0	1480.0	14709
NZ_CP058329.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	678	1500	844	22	0.0	1480.0	13636
NZ_CP059482.1	ColE	Gram-negative	IS26	100.0	823	859	0.958	6448	7270	842	20	0.0	1485.0	12808
NZ_CP098356.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	10428	11250	22	844	0.0	1480.0	15271
NZ_CP110940.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	12497	13319	22	844	0.0	1480.0	13636
NZ_CP110946.1	ColE	Gram-negative	IS26	99.878	823	859	0.958	7980	8802	844	22	0.0	1480.0	13636
NZ_CP110951.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	12497	13319	22	844	0.0	1476.0	13636
NZ_CP110956.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	12497	13319	22	844	0.0	1476.0	13636
NZ_CP110961.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	8063	8885	844	22	0.0	1476.0	13636
NZ_CP110966.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	12497	13319	22	844	0.0	1476.0	13636
NZ_CP110971.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	12497	13319	22	844	0.0	1476.0	13636
NZ_OP745647.1	ColE	Gram-negative	IS26	99.757	823	859	0.958	7472	8294	844	22	0.0	1476.0	16840
CP080656.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5290	6112	22	844	0.0	1480.0	13841
CP080660.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	10560	11382	844	22	0.0	1480.0	13841
CP080664.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9860	10682	844	22	0.0	1480.0	13141
CP080669.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	9664	10486	22	844	0.0	1480.0	13841
CP080677.1	ColRNAI	Gram-negative	IS26	99.878	823	859	0.958	5610	6432	22	844	0.0	1480.0	13841
