plasmid_id	length_bp	inc_type	inc_confidence	is_novel
AB000510.1	2645	repSA_small	81.4	False
AB011548.2	3306	IncX1	79.9	False
AB011549.2	92721	IncFII	100.0	False
AB063523.1	5280	repSA_large	80.0	False
AB244976.1	65998	repPae_small	77.7	False
AB576781.2	112670	IncFII	100.0	False
AB605179.1	132842	IncFII	100.0	False
ADWM02000138.1	7242	IncX1	39.9	True
ADWN02000004.1	7242	IncX1	39.9	True
AE006471.2	93933	IncFII	100.0	False
AE016829.2	37319	repEF_res	60.5	False
AE017195.1	208369	repEF_res	57.7	False
AF077865.1	555	repSA_large	100.0	False
AF128883.1	20719	repSA_large	100.0	False
AF203376.1	2699	repSA_large	100.0	False
AF318175.1	1065	repAci1	100.0	False
AF386526.1	221618	IncFII	77.8	False
AF394225.1	1000	repEF_conj	100.0	False
AF411935.1	12637	repSA_large	100.0	False
AF521699.1	16726	repEF_res	100.0	False
AFSD01000007.1	105065	repPae_large	100.0	False
AFSD01000008.1	401969	repPae_large	72.0	False
AJ297913.2	45319	repPae_small	100.0	False
AJ304453.1	55578	repPae_large	51.6	False
AJ639924.1	56167	repPae_large	71.9	False
AJ863570.1	57198	repPae_large	72.0	False
AL645771.1	31317	repPae_large	100.0	False
AM157767.1	69966	repPae_large	100.0	False
AM261282.1	54383	repPae_large	63.5	False
AP003139.1	24653	repSA_large	100.0	False
AP007210.1	270082	repEF_res	79.6	False
AP007211.1	47972	repEF_conj	57.6	False
AP007212.1	5436	repEF_res	59.3	False
AP007213.1	3869	repEF_conj	100.0	False
AP007214.1	3091	repEF_conj	80.5	False
AP011958.1	106510	IncFII	100.0	False
AP011959.1	8670	repPae_small	73.5	False
AP012045.1	60586	IncX1	100.0	False
AP012283.1	199075	repSA_large	100.0	False
AP012552.1	19174	IncFII	100.0	False
AP012553.1	38222	IncN	57.7	False
AP014566.1	132611	IncFII	100.0	False
AP014579.1	1438033	repPae_large	69.1	False
AP014580.1	495745	repPae_large	74.6	False
AP014581.1	194177	repPae_large	82.6	False
AP014659.1	212255	repPae_large	60.2	False
AP014686.1	210438	repPae_large	57.7	False
AP014687.1	136288	repPae_large	61.8	False
AP014688.1	136153	repPae_large	61.3	False
AP014713.1	6220	repEF_conj	79.1	False
AP014720.1	313409	repPae_large	100.0	False
AP014721.1	14696	repPae_large	60.0	False
AP014801.1	111306	repPae_large	100.0	False
AP014802.1	106137	repPae_large	100.0	False
AP014803.1	60897	repPae_large	100.0	False
AP014882.1	187193	IncFII	80.1	False
AP014883.1	6331	IncFII	80.0	False
AP014884.1	2799	repPae_large	80.3	False
AP014885.1	2278	repPae_small	40.6	False
AP014952.1	209081	IncFII	100.0	False
AP014953.1	104259	IncFIB	80.0	False
AP014954.1	81481	IncFII	100.0	False
AP014955.1	3897	IncX1	100.0	False
AP017309.1	325675	IncFIB	59.7	False
AP017310.1	98206	IncC	40.1	False
AP017311.1	92964	IncFIB	80.3	False
AP017376.1	143540	repAci_large	100.0	False
AP017382.1	76124	repAci_large	100.0	False
AP017383.1	62260	repAci_large	100.0	False
AP017384.1	37064	repAci_large	100.0	False
AP017627.1	141326	repPae_large	100.0	False
AP017628.1	21379	repPae_large	79.7	False
AP017915.1	26809	repSA_large	100.0	False
AP017916.1	21972	repSA_large	100.0	False
AP017917.1	20721	repSA_large	78.6	False
AP017918.1	18962	repSA_large	78.6	False
AP017919.1	13523	repSA_large	100.0	False
AP017921.1	19139	repPae_small	100.0	False
AP017960.1	138469	IncFII	79.8	False
AP017961.1	65838	IncFII	78.4	False
AP017962.1	65624	repAci_large	100.0	False
AP017963.1	17389	IncN	60.0	False
AP017965.1	201158	repSA_large	100.0	False
AP017966.1	148259	repSA_large	100.0	False
AP017967.1	109307	repSA_large	100.0	False
AP017969.1	89623	repSA_large	100.0	False
AP017970.1	68063	repSA_large	100.0	False
AP017974.1	57722	repAci_large	100.0	False
AP017992.1	117686	repAci_large	100.0	False
AP017993.1	99115	repAci_large	80.2	False
AP017994.1	52365	repAci_large	60.3	False
AP017995.1	34730	repAci_large	60.9	False
AP018182.1	221468	repAci_large	100.0	False
