source_file	inc_group	organism_category	is_family	is1_pos	is2_pos	region_size	same_orientation	cargo_genes	n_cargo
AP026477.1	IncF	Gram-negative	IS26	41343-42162	52128-52949	9966	True	dfrA17,aadA5,sul1,mrx(A),mph(A)	5
AP026477.1	IncF	Gram-negative	IS26	52128-52949	57366-58185	4417	True	sul2,aph(3'')-Ib,aph(6)-Id	3
AP026480.1	IncF	Gram-negative	IS26	18800-19619	29585-30406	9966	True	dfrA17,aadA5,sul1,mrx(A),mph(A)	5
AP026480.1	IncF	Gram-negative	IS26	29585-30406	37063-37882	6657	True	sul2,aph(3'')-Ib,aph(6)-Id,tet(A)	4
AP026496.1	IncHI2	Gram-negative	IS1	88541-89308	105369-106136	16061	False	aph(3')-Ia	1
AP026496.1	IncHI2	Gram-negative	IS26	95393-96212	97253-98072	1041	True	aph(3')-Ia	1
AP026496.1	IncHI2	Gram-negative	IS26	97253-98072	107654-108474	9582	True	blaTEM-1	1
AP026519.1	IncF	Gram-negative	IS26	42578-43397	53363-54184	9966	True	dfrA17,aadA5,sul1,mrx(A),mph(A)	5
AP026531.1	IncF	Gram-negative	IS26	60375-61194	65729-66549	4535	True	aac(3)-IId	1
AP026531.1	IncF	Gram-negative	IS1	31776-32543	38132-38899	5589	False	tet(B)	1
AP026531.1	IncF	Gram-negative	IS1	38132-38899	76373-77140	37474	False	sul1,aadA5,dfrA17,aac(3)-IId,blaTEM-1	5
AP026531.1	IncF	Gram-negative	IS10	36956-38133	64721-65732	26588	False	sul1,aadA5,dfrA17,aac(3)-IId	4
CP035180.1	IncFIB	Gram-negative	IS26	192694-193513	211862-212685	18349	True	dfrA12,aadA2,sul1,sul1,armA,msr(E),mph(E)	7
CP035182.1	IncR	Gram-negative	IS26	15163-15955	32403-33220	16448	True	blaSHV,qnrB1	2
CP035182.1	IncR	Gram-negative	IS1	25217-25980	74170-74938	48190	True	aac(3)-IId,blaTEM-1,blaOXA,aadA1,aac(6')-Ib,blaSHV	6
CP035908.1	IncAC2	Gram-negative	IS26	115040-115831	128197-129017	12366	True	blaTEM-1,aph(6)-Id,aph(3'')-Ib,sul2	4
CP054250.1	IncF	Gram-negative	IS26	28501-29322	39285-40104	9963	True	mph(A),mrx(A),sul1,aadA5,dfrA17	5
CP061512.1	IncHI2	Gram-negative	IS26	147717-148536	149479-150298	943	True	catA1	1
CP071791.1	IncHI2	Gram-negative	IS1	92850-93617	94494-95261	877	False	catA1	1
CP071791.1	IncHI2	Gram-negative	IS26	97338-98166	112133-112952	13967	True	sul2,aph(3'')-Ib,aph(6)-Id,blaTEM-1,blaCTX-M-15	5
CP071791.1	IncHI2	Gram-negative	IS26	112133-112952	115552-116372	2600	True	aac(3)-IIe	1
CP071791.1	IncHI2	Gram-negative	IS26	124090-124909	132871-133690	7962	True	qnrB1	1
CP071791.1	IncHI2	Gram-negative	IS26	132871-133690	141218-142037	7528	True	dfrA14	1
CP080653.1	IncFIB	Gram-negative	IS1	64763-65475	93975-94742	28500	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080653.1	IncFIB	Gram-negative	IS26	75160-75895	76936-77756	1041	True	aph(3')-Ia	1
CP080658.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080658.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080662.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080662.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080666.1	IncFIB	Gram-negative	IS1	93258-94025	116023-116790	21998	True	catA1,dfrA12,aadA2,sul1,mrx(A),mph(A)	6
CP080671.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080671.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080675.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080675.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080679.1	IncFIB	Gram-negative	IS1	64762-65474	93976-94743	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080679.1	IncFIB	Gram-negative	IS26	75161-75896	76937-77757	1041	True	aph(3')-Ia	1
CP080685.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080685.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080689.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080689.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080694.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080694.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080698.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080698.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080703.1	IncFIB	Gram-negative	IS1	18855-19622	41620-42387	21998	True	mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	6
CP080708.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080708.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080713.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080713.1	IncFIB	Gram-negative	IS26	75162-75897	76938-77758	1041	True	aph(3')-Ia	1
CP080717.1	IncFIB	Gram-negative	IS1	64764-65476	93978-94745	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080717.1	IncFIB	Gram-negative	IS26	75163-75898	76939-77759	1041	True	aph(3')-Ia	1
CP080723.1	IncFIB	Gram-negative	IS1	64762-65474	93976-94743	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080723.1	IncFIB	Gram-negative	IS26	75161-75896	76937-77757	1041	True	aph(3')-Ia	1
CP080727.1	IncFIB	Gram-negative	IS1	64762-65474	93976-94743	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
CP080727.1	IncFIB	Gram-negative	IS26	75161-75896	76937-77757	1041	True	aph(3')-Ia	1
CP080731.1	IncFIB	Gram-negative	IS1	64763-65475	93977-94744	28502	True	aph(3')-Ia,mph(A),mrx(A),sul1,aadA2,dfrA12,catA1	7
