source_file	inc_group	organism_category	is_family	is1_start	is1_end	is2_start	is2_end	cargo_genes	n_cargo_genes	region_size
AP026477.1	IncF	Gram-negative	IS26	41343	42162	52128	52949	dfrA17,aadA5,sul1,mrx(A),mph(A)	5	9966
AP026477.1	IncF	Gram-negative	IS26	52128	52949	57366	58185	sul2,aph(3'')-Ib,aph(6)-Id	3	4417
AP026477.1	IncF	Gram-negative	IS26	62070	62889	65157	65976	aac(3)-IId	1	2268
AP026480.1	IncF	Gram-negative	IS26	18800	19619	29585	30406	dfrA17,aadA5,sul1,mrx(A),mph(A)	5	9966
AP026480.1	IncF	Gram-negative	IS26	29585	30406	37063	37882	sul2,aph(3'')-Ib,aph(6)-Id,tet(A)	4	6657
AP026496.1	IncHI2	Gram-negative	IS26	95393	96212	97253	98072	aph(3')-Ia	1	1041
AP026496.1	IncHI2	Gram-negative	IS26	97253	98072	107654	108474	blaTEM-1	1	9582
AP026519.1	IncF	Gram-negative	IS26	42578	43397	53363	54184	dfrA17,aadA5,sul1,mrx(A),mph(A)	5	9966
AP026519.1	IncF	Gram-negative	IS26	53363	54184	59540	60361	sul2,aph(3'')-Ib,aph(6)-Id,tet(A)	4	5356
AP026519.1	IncF	Gram-negative	IS26	59540	60361	62285	63106	aac(3)-IId	1	1924
AP026531.1	IncF	Gram-negative	IS26	26020	26839	52632	53453	catA1,tet(B)	2	25793
AP026531.1	IncF	Gram-negative	IS26	52632	53453	60375	61194	sul1,aadA5,dfrA17	3	6922
AP026531.1	IncF	Gram-negative	IS26	60375	61194	65729	66549	aac(3)-IId	1	4535
CP035180.1	IncFIB	Gram-negative	IS26	49902	50717	192694	193513	aadA1,aac(6')-Ib	2	141977
CP035180.1	IncFIB	Gram-negative	IS26	192694	193513	211862	212685	dfrA12,aadA2,sul1,sul1,armA,msr(E),mph(E)	7	18349
CP035180.1	IncFIB	Gram-negative	IS26	211862	212685	220173	220992	blaSHV-1	1	7488
CP035182.1	IncR	Gram-negative	IS26	15163	15955	32403	33220	blaSHV,qnrB1	2	16448
CP035182.1	IncR	Gram-negative	IS26	32403	33220	43724	44544	aac(3)-IId,blaTEM-1,blaOXA,aadA1,aac(6')-Ib	5	10504
CP035908.1	IncAC2	Gram-negative	IS26	115040	115831	128197	129017	blaTEM-1,aph(6)-Id,aph(3'')-Ib,sul2	4	12366
CP052768.1	IncX3	Gram-negative	IS26	39711	40530	42028	42847	blaSHV-12	1	1498
CP052871.1	IncHI2	Gram-negative	IS26	226352	227171	231633	232102	blaSHV-12	1	4462
CP052871.1	IncHI2	Gram-negative	IS26	231633	232102	243634	244453	aac(6')-Ib3	1	11532
CP052871.1	IncHI2	Gram-negative	IS26	243634	244453	248172	248991	tet(A)	1	3719
CP052871.1	IncHI2	Gram-negative	IS26	263074	263893	270153	270972	sul1,qnrA1	2	6260
CP054243.1	IncF	Gram-negative	IS26	24389	25213	28208	29027	aac(3)-IId	1	2995
CP054247.1	IncF	Gram-negative	IS26	27924	28746	31741	32562	aac(3)-IId	1	2995
CP054250.1	IncF	Gram-negative	ISEcp1	4844	6488	161029	162683	blaTEM-1,aac(3)-IId,mph(A),mrx(A),sul1,aadA5,dfrA17	7	154541
CP054250.1	IncF	Gram-negative	IS26	18811	19630	22626	23448	aac(3)-IId	1	2996
CP054250.1	IncF	Gram-negative	IS26	28501	29322	39285	40104	mph(A),mrx(A),sul1,aadA5,dfrA17	5	9963
CP061512.1	IncHI2	Gram-negative	IS26	124595	125414	129133	129952	tet(A)	1	3719
CP061512.1	IncHI2	Gram-negative	IS26	129133	129952	141484	141953	aac(6')-Ib3	1	11532
CP061512.1	IncHI2	Gram-negative	IS26	141484	141953	146415	147234	blaSHV-12	1	4462
CP061512.1	IncHI2	Gram-negative	IS26	147717	148536	149479	150298	catA1	1	943
CP071789.1	IncA	Gram-negative	IS26	44391	45210	55456	56290	sul1,catB2,aadA1,aac(6')-Ib4	4	10246
CP071791.1	IncHI2	Gram-negative	IS26	97338	98166	112133	112952	sul2,aph(3'')-Ib,aph(6)-Id,blaTEM-1,blaCTX-M-15	5	13967
CP071791.1	IncHI2	Gram-negative	IS26	112133	112952	115552	116372	aac(3)-IIe	1	2600
CP071791.1	IncHI2	Gram-negative	IS26	115552	116372	118559	119378	catB3,blaOXA-1,aac(6')-Ib4	3	2187
CP071791.1	IncHI2	Gram-negative	IS26	124090	124909	132871	133690	qnrB1	1	7962
CP071791.1	IncHI2	Gram-negative	IS26	132871	133690	141218	142037	dfrA14	1	7528
CP071791.1	IncHI2	Gram-negative	IS26	141218	142037	145756	146575	tet(A)	1	3719
CP080653.1	IncFIB	Gram-negative	IS26	75160	75895	76936	77756	aph(3')-Ia	1	1041
CP080654.1	IncFIB	Gram-negative	IS26	24581	25017	27717	28536	blaTEM-1,blaOXA	2	2700
CP080658.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
CP080662.1	IncFIB	Gram-negative	IS26	75162	75897	76938	77758	aph(3')-Ia	1	1041
