source_file	inc_type	Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	2091	4277	+	yopO	type III secretion system effector protein kinase YopO/YpkA	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	729	729	100.00	99.86	729	CFQ25321.1	type III secretion system effector protein kinase YopO/YpkA	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	4761	5624	+	yopJ	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	288	288	100.00	94.10	288	AAN37537.1	YopJ/YopP family T3SS effector serine/threonine acetyltransferase	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	8439	9404	+	yopT	T3SS effector cysteine protease YopT	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	322	322	100.00	94.10	322	AJJ21466.1	T3SS effector cysteine protease YopT	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	13197	14297	+	yopM	type III secretion system effector YopM	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	367	367	100.00	93.46	367	AJJ21446.1	type III secretion system effector YopM	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	15077	15994	-	yopD	type III secretion system translocon subunit YopD	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	306	306	100.00	98.37	306	AAK69210.1	type III secretion system translocon subunit YopD	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	16016	17218	-	yopB	type III secretion system translocon subunit YopB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	401	401	100.00	98.75	401	AAK69211.1	type III secretion system translocon subunit YopB	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	17708	18679	-	lcrV	type III secretion system needle tip protein LcrV	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	324	329	100.00	95.14	329	CNC59088.1	type III secretion system needle tip protein LcrV	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	32056	32868	+	virF	virulence regulon transcriptional activator VirF	plus	VIRULENCE	VIRULENCE	NA	NA	EXACTX	271	271	100.00	100.00	271	AAD16833.1	virulence regulon transcriptional activator VirF	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	41658	43061	+	yopH	T3SS effector protein-tyrosine-phosphatase YopH	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	468	468	100.00	99.36	468	AJJ21453.1	T3SS effector protein-tyrosine-phosphatase YopH	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	45910	46566	+	yopE	type III secretion system effector GTPase activator YopE	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	219	219	100.00	94.52	219	AJJ21471.1	type III secretion system effector GTPase activator YopE	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	60606	61028	-	arsC	glutaredoxin-dependent arsenate reductase	plus	STRESS	METAL	ARSENIC	ARSENATE	EXACTX	141	141	100.00	100.00	141	AAB42203.1	glutaredoxin-dependent arsenate reductase	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	61044	62330	-	arsB	arsenite efflux transporter membrane subunit ArsB	plus	STRESS	METAL	ARSENIC	ARSENITE	EXACTX	429	429	100.00	100.00	429	AAB42204.1	arsenite efflux transporter membrane subunit ArsB	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	62429	62695	-	arsR	As(III)-sensing metalloregulatory transcriptional repressor ArsR	plus	STRESS	METAL	ARSENIC	ARSENIC	PARTIALX	89	106	83.96	100.00	89	ADZ44504.1	As(III)-sensing metalloregulatory transcriptional repressor ArsR	NA	NA
RefSeq_NC_002120.1	IncFII	NA	RefSeq_NC_002120.1	62781	63476	+	arsH	arsenic resistance NADPH-dependent reductase ArsH	plus	STRESS	METAL	ARSENIC	ARSENIC	BLASTX	232	232	100.00	97.41	232	ADW66881.1	arsenic resistance NADPH-dependent reductase ArsH	NA	NA
RefSeq_NC_002638.1	IncFII	NA	RefSeq_NC_002638.1	3515	5287	+	spvB	SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	plus	VIRULENCE	VIRULENCE	NA	NA	BLASTX	591	591	100.00	99.15	591	AAL23530.1	SPI-2 type III secretion system effector NAD(+)--protein-arginine ADP-ribosyltransferase SpvB	NA	NA
