plasmid_id	inc_type	length_bp	pLIN	bin_A	bin_B	bin_C	bin_D	bin_E	bin_F
RefSeq_NC_002120.1	IncFII	69673	1.1.1.7.30.71	1	1	1	7	30	71
RefSeq_NC_002638.1	IncFII	49503	1.1.1.7.30.326	1	1	1	7	30	326
RefSeq_NC_003131.1	IncFII	70305	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NC_003277.2	IncFII	93933	1.1.1.7.30.862	1	1	1	7	30	862
RefSeq_NC_004564.1	IncFII	66591	1.1.1.7.30.70	1	1	1	7	30	70
RefSeq_NC_004836.1	IncFII	70504	1.1.1.7.30.63	1	1	1	7	30	63
RefSeq_NC_004839.1	IncFII	70559	1.1.1.7.30.63	1	1	1	7	30	63
RefSeq_NC_005017.1	IncFII	67720	1.1.1.7.30.70	1	1	1	7	30	70
RefSeq_NC_005813.1	IncFII	70159	1.1.1.7.30.63	1	1	1	7	30	63
RefSeq_NC_005814.1	IncFII	21742	1.1.1.7.30.85	1	1	1	7	30	85
RefSeq_NC_006153.2	IncFII	68525	1.1.1.7.30.69	1	1	1	7	30	69
RefSeq_NC_006671.1	IncFII	101375	1.1.1.7.30.1668	1	1	1	7	30	1668
RefSeq_NC_006816.1	IncFII	84514	1.1.1.7.30.800	1	1	1	7	30	800
RefSeq_NC_006855.1	IncFII	49558	1.1.1.7.30.326	1	1	1	7	30	326
RefSeq_NC_007208.1	IncFII	80156	1.1.1.7.30.327	1	1	1	7	30	327
RefSeq_NC_008122.1	IncFII	70299	1.1.1.7.30.63	1	1	1	7	30	63
RefSeq_NC_008791.1	IncFII	67721	1.1.1.7.30.70	1	1	1	7	30	70
RefSeq_NC_009377.1	IncFII	71507	1.1.1.7.30.63	1	1	1	7	30	63
RefSeq_NC_009595.1	IncFII	70305	1.1.1.7.30.63	1	1	1	7	30	63
RefSeq_NC_009649.1	IncFII	175879	1.1.1.7.30.1240	1	1	1	7	30	1240
RefSeq_NC_009650.1	IncFII	107576	1.1.1.7.30.1270	1	1	1	7	30	1270
